ticket_id,customer_id,tickets_last_year,complaint_category,avg_resolution_hours,satisfaction_score,escalated,issue_status
7000113,1047838,6,Wrong Item,24.7,3.7,No,Open
7000114,1172913,8,Account Issue,48.0,2.6,No,Resolved
7000115,1238460,6,Account Issue,24.0,4.9,Yes,Escalated
7000116,1453463,8,Wrong Item,4.8,3.1,Yes,Escalated
7000117,1327895,1,Refund Request,20.0,1.5,No,Closed
7000118,1229700,2,Delivery Delay,70.1,3.4,No,Open
7000119,1372131,5,Delivery Delay,40.2,1.4,Yes,Resolved
7000120,1241932,3,Other,67.2,2.2,Yes,Closed
7000121,1217837,8,Refund Request,33.4,1.6,No,Open
7000122,1483325,2,Account Issue,55.9,4.4,Yes,Closed
7000123,1489816,1,Account Issue,52.5,4.3,No,Escalated
7000124,1453646,8,Other,25.5,3.2,Yes,Escalated
7000125,1238732,4,Refund Request,41.6,1.9,No,Escalated
7000126,1022884,8,Wrong Item,28.4,3.7,No,Open
7000127,1259695,3,Technical Problem,62.7,4.5,Yes,Escalated
7000128,1052278,1,Product Quality,30.1,3.6,No,Open
7000129,1039232,5,Technical Problem,45.3,2.6,No,Resolved
7000130,1446571,7,Technical Problem,45.5,4.5,No,Escalated
7000131,1457380,2,Refund Request,45.8,4.7,Yes,Open
7000132,1391521,7,Payment Issue,55.0,3.8,Yes,Resolved
7000133,1232616,5,Delivery Delay,4.3,4.2,Yes,Closed
7000134,1187939,7,Product Quality,18.3,2.6,No,Open
7000135,1089121,2,Wrong Item,45.0,2.0,Yes,Open
7000136,1121734,5,Other,19.1,1.0,No,Escalated
7000137,1472494,3,Payment Issue,32.4,2.4,No,Closed
7000138,1334988,5,Other,61.0,1.8,No,Escalated
7000139,1447394,2,Refund Request,28.1,2.4,No,Closed
7000140,1366624,1,Wrong Item,20.5,3.3,No,Resolved
7000141,1477426,5,Refund Request,44.1,2.4,No,Open
7000142,1325526,3,Payment Issue,65.1,3.6,No,Closed
7000143,1413460,1,Technical Problem,53.0,1.4,No,Closed
7000144,1171295,3,Refund Request,10.4,3.2,No,Closed
7000145,1278320,3,Account Issue,65.9,4.8,No,Closed
7000146,1391413,2,Other,69.4,1.6,No,Open
7000147,1450962,6,Payment Issue,57.1,1.1,No,Resolved
7000148,1238439,5,Wrong Item,59.4,4.8,No,Resolved
7000149,1353809,8,Delivery Delay,45.0,4.8,Yes,Closed
7000150,1479858,2,Other,65.6,2.2,Yes,Escalated
7000151,1061172,1,Delivery Delay,22.6,3.0,Yes,Resolved
7000152,1123103,7,Other,27.3,4.8,Yes,Escalated
7000153,1307936,7,Payment Issue,60.2,3.5,Yes,Closed
7000154,1017153,4,Other,32.6,1.9,No,Closed
7000155,1052091,6,Delivery Delay,29.3,1.8,No,Resolved
7000156,1497555,2,Refund Request,46.6,3.4,No,Resolved
7000157,1026518,4,Product Quality,56.9,1.8,No,Open
7000158,1307434,4,Technical Problem,56.0,4.2,Yes,Resolved
7000159,1145372,3,Account Issue,57.7,1.4,Yes,Resolved
7000160,1069103,6,Refund Request,42.8,1.1,Yes,Closed
7000161,1027473,7,Payment Issue,53.9,2.9,Yes,Closed
7000162,1269085,8,Refund Request,68.1,1.2,Yes,Closed
7000163,1240147,1,Other,61.2,2.7,Yes,Resolved
7000164,1257043,2,Payment Issue,23.9,1.6,No,Open
7000165,1144188,7,Account Issue,33.2,3.4,No,Resolved
7000166,1415811,4,Wrong Item,33.1,1.9,Yes,Closed
7000167,1433806,7,Wrong Item,52.8,2.3,No,Closed
7000168,1348709,6,Product Quality,49.8,2.9,No,Resolved
7000169,1436089,2,Wrong Item,7.9,4.0,Yes,Open
7000170,1291699,6,Payment Issue,30.2,4.5,Yes,Escalated
7000171,1455131,5,Account Issue,26.0,3.3,Yes,Open
7000172,1081124,4,Payment Issue,25.9,3.2,No,Resolved
7000173,1399825,4,Wrong Item,61.0,4.9,No,Resolved
7000174,1319289,1,Product Quality,20.4,4.0,No,Closed
7000175,1184038,3,Product Quality,41.2,2.6,Yes,Open
7000176,1388482,2,Refund Request,27.7,2.8,Yes,Open
7000177,1194015,6,Payment Issue,63.7,1.6,No,Resolved
7000178,1353354,5,Other,48.0,2.9,Yes,Escalated
7000179,1217152,4,Payment Issue,25.5,1.4,No,Escalated
7000180,1276266,1,Refund Request,29.1,3.4,No,Resolved
7000181,1107177,4,Product Quality,55.3,2.2,No,Resolved
7000182,1004053,7,Product Quality,10.2,3.1,No,Open
7000183,1262282,2,Wrong Item,62.2,1.2,No,Resolved
7000184,1241044,6,Wrong Item,41.7,3.8,Yes,Escalated
7000185,1151790,7,Delivery Delay,69.6,1.7,Yes,Escalated
7000186,1436222,2,Wrong Item,61.0,2.0,No,Escalated
7000187,1274708,7,Account Issue,54.0,1.9,Yes,Open
7000188,1040045,4,Technical Problem,25.9,4.8,Yes,Open
7000189,1123873,3,Account Issue,15.0,3.4,Yes,Resolved
7000190,1092876,8,Other,49.4,4.5,No,Closed
7000191,1453115,3,Other,5.8,2.8,No,Closed
7000192,1417507,1,Technical Problem,37.0,2.2,No,Escalated
7000193,1019718,6,Account Issue,6.4,4.5,Yes,Resolved
7000194,1322442,8,Delivery Delay,32.9,4.2,No,Open
7000195,1168573,3,Delivery Delay,33.0,4.2,No,Closed
7000196,1374508,3,Delivery Delay,18.6,2.8,Yes,Escalated
7000197,1274763,6,Technical Problem,66.2,2.5,Yes,Closed
7000198,1355938,6,Payment Issue,24.4,3.2,Yes,Escalated
7000199,1148975,3,Technical Problem,6.8,3.7,No,Closed
7000200,1162651,3,Payment Issue,23.0,2.5,No,Closed
7000201,1426344,2,Wrong Item,37.1,1.1,Yes,Closed
7000202,1094510,6,Other,14.6,5.0,Yes,Open
7000203,1040457,2,Delivery Delay,48.0,4.5,No,Open
7000204,1313130,3,Product Quality,13.8,3.8,No,Open
7000205,1378108,1,Wrong Item,26.9,3.9,No,Escalated
7000206,1320128,8,Refund Request,38.9,2.2,No,Escalated
7000207,1473943,6,Other,33.8,2.1,Yes,Escalated
7000208,1263668,3,Refund Request,57.9,1.6,No,Closed
7000209,1027358,6,Payment Issue,51.5,3.1,No,Resolved
7000210,1149456,3,Account Issue,32.9,3.1,Yes,Escalated
7000211,1048085,8,Technical Problem,67.1,2.7,Yes,Escalated
7000212,1263197,4,Wrong Item,71.6,2.5,No,Resolved
7000213,1167083,6,Product Quality,10.8,2.1,Yes,Escalated
7000214,1364943,8,Other,44.7,4.6,Yes,Resolved
7000215,1134178,3,Wrong Item,8.9,2.2,Yes,Closed
7000216,1063884,4,Wrong Item,46.4,3.5,Yes,Resolved
7000217,1058122,1,Refund Request,52.0,2.2,No,Resolved
7000218,1322338,4,Wrong Item,14.3,3.7,No,Closed
7000219,1035484,7,Other,4.1,2.5,Yes,Closed
7000220,1132986,6,Payment Issue,25.5,3.9,Yes,Resolved
7000221,1404489,3,Delivery Delay,26.0,2.4,No,Open
7000222,1435361,8,Product Quality,58.6,1.3,No,Escalated
7000223,1019391,4,Delivery Delay,57.2,4.5,No,Closed
7000224,1489356,7,Other,19.0,4.0,No,Open
7000225,1150005,1,Technical Problem,20.4,4.2,No,Escalated
7000226,1466348,8,Wrong Item,25.1,1.7,No,Escalated
7000227,1192596,2,Wrong Item,6.6,3.4,No,Open
7000228,1285986,6,Payment Issue,6.7,3.6,No,Closed
7000229,1233789,3,Other,26.0,1.2,No,Closed
7000230,1322360,5,Delivery Delay,6.3,3.6,No,Closed
7000231,1269005,1,Product Quality,61.3,3.7,Yes,Escalated
7000232,1018245,2,Refund Request,56.3,2.5,Yes,Escalated
7000233,1497795,3,Other,68.4,2.5,Yes,Resolved
7000234,1300901,6,Wrong Item,23.3,2.1,Yes,Resolved
7000235,1013587,8,Wrong Item,65.9,1.5,Yes,Closed
7000236,1369119,4,Account Issue,50.3,5.0,No,Open
7000237,1064298,2,Other,13.3,3.9,Yes,Resolved
7000238,1424943,6,Payment Issue,40.0,2.2,No,Closed
7000239,1446359,3,Technical Problem,37.1,1.5,Yes,Open
7000240,1415271,4,Other,2.9,3.2,Yes,Closed
7000241,1245056,2,Payment Issue,23.0,5.0,Yes,Escalated
7000242,1275616,7,Payment Issue,9.9,2.3,No,Resolved
7000243,1235917,6,Product Quality,63.3,4.1,No,Open
7000244,1402539,7,Delivery Delay,60.0,3.1,Yes,Closed
7000245,1086328,6,Refund Request,25.6,4.8,Yes,Closed
7000246,1443513,5,Refund Request,46.1,3.2,Yes,Open
7000247,1327692,2,Product Quality,43.0,3.3,No,Open
7000248,1345366,1,Delivery Delay,6.8,4.8,No,Closed
7000249,1341380,7,Delivery Delay,36.4,3.5,Yes,Closed
7000250,1336545,8,Refund Request,58.1,3.7,No,Closed
7000251,1237788,1,Product Quality,32.2,2.9,Yes,Open
7000252,1178359,6,Technical Problem,53.1,4.4,Yes,Escalated
7000253,1068560,2,Technical Problem,18.2,1.5,No,Escalated
7000254,1129981,2,Delivery Delay,21.6,2.5,Yes,Escalated
7000255,1130166,6,Technical Problem,14.5,1.6,Yes,Escalated
7000256,1261494,8,Delivery Delay,7.4,2.6,No,Escalated
7000257,1126212,6,Delivery Delay,4.6,3.0,Yes,Escalated
7000258,1149815,2,Wrong Item,10.5,2.1,Yes,Closed
7000259,1400481,6,Delivery Delay,29.4,3.3,No,Open
7000260,1190067,2,Wrong Item,36.8,4.1,No,Closed
7000261,1432701,3,Payment Issue,29.0,4.2,Yes,Closed
7000262,1292465,3,Refund Request,43.8,2.6,No,Resolved
7000263,1023753,3,Technical Problem,58.1,3.1,Yes,Open
7000264,1317856,6,Technical Problem,12.5,5.0,Yes,Closed
7000265,1311283,8,Account Issue,34.7,1.1,No,Closed
7000266,1353269,7,Account Issue,57.6,3.9,Yes,Resolved
7000267,1312953,5,Refund Request,52.2,3.3,No,Open
7000268,1274849,3,Refund Request,3.2,4.8,No,Resolved
7000269,1100026,8,Technical Problem,30.7,2.7,Yes,Open
7000270,1215156,1,Product Quality,37.8,3.2,No,Escalated
7000271,1275502,6,Product Quality,33.6,3.1,No,Closed
7000272,1354350,8,Refund Request,69.0,2.1,No,Closed
7000273,1117896,5,Refund Request,50.0,3.0,No,Escalated
7000274,1182874,5,Payment Issue,41.7,3.2,No,Escalated
7000275,1429066,3,Account Issue,4.0,4.8,No,Resolved
7000276,1181595,5,Other,16.2,4.3,No,Closed
7000277,1489174,3,Payment Issue,44.7,3.3,No,Open
7000278,1026616,4,Delivery Delay,8.1,2.3,Yes,Escalated
7000279,1052715,1,Product Quality,29.9,4.7,Yes,Escalated
7000280,1250321,5,Technical Problem,21.3,1.2,Yes,Resolved
7000281,1341993,1,Product Quality,30.7,4.4,Yes,Resolved
7000282,1438412,8,Product Quality,67.5,4.8,No,Closed
7000283,1459666,1,Account Issue,41.3,1.4,Yes,Closed
7000284,1149193,8,Product Quality,61.4,2.9,No,Open
7000285,1424052,6,Product Quality,52.9,3.6,Yes,Open
7000286,1007385,5,Refund Request,13.5,4.4,No,Escalated
7000287,1433581,6,Payment Issue,29.5,1.4,No,Open
7000288,1250324,4,Delivery Delay,19.5,1.9,No,Closed
7000289,1172819,1,Account Issue,47.4,3.8,No,Resolved
7000290,1350113,8,Account Issue,12.3,3.7,Yes,Closed
7000291,1361911,5,Technical Problem,44.6,1.9,Yes,Open
7000292,1250706,8,Technical Problem,30.5,3.2,Yes,Escalated
7000293,1397070,4,Payment Issue,38.3,3.1,Yes,Closed
7000294,1040949,1,Refund Request,41.7,1.6,Yes,Closed
7000295,1447997,2,Refund Request,51.9,3.0,No,Escalated
7000296,1423988,8,Product Quality,37.4,2.8,Yes,Resolved
7000297,1292971,5,Delivery Delay,29.1,4.3,No,Open
7000298,1303202,1,Wrong Item,25.5,1.3,Yes,Resolved
7000299,1489991,8,Delivery Delay,21.4,1.7,Yes,Open
7000300,1401515,6,Wrong Item,32.8,4.7,No,Escalated
7000301,1196947,3,Technical Problem,9.4,5.0,Yes,Escalated
7000302,1277266,4,Delivery Delay,54.7,4.9,Yes,Escalated
7000303,1353108,7,Refund Request,18.6,2.4,No,Closed
7000304,1098819,1,Wrong Item,44.7,4.7,Yes,Resolved
7000305,1126179,2,Payment Issue,43.2,2.8,Yes,Resolved
7000306,1128312,7,Other,17.6,1.9,Yes,Resolved
7000307,1073472,4,Technical Problem,42.0,4.1,No,Closed
7000308,1124206,3,Refund Request,30.4,2.1,No,Open
7000309,1328201,8,Delivery Delay,70.0,4.8,No,Escalated
7000310,1411988,7,Wrong Item,11.6,2.5,No,Escalated
7000311,1126337,5,Product Quality,58.2,4.7,Yes,Escalated
7000312,1218371,7,Refund Request,19.1,2.3,Yes,Resolved
7000313,1483513,6,Payment Issue,39.0,4.3,No,Resolved
7000314,1140752,1,Payment Issue,14.4,4.0,No,Open
7000315,1251341,6,Account Issue,68.9,1.1,Yes,Open
7000316,1388747,8,Refund Request,50.4,3.8,Yes,Escalated
7000317,1479790,6,Account Issue,28.0,3.1,Yes,Closed
7000318,1161703,6,Other,34.1,4.2,No,Escalated
7000319,1399313,4,Technical Problem,23.2,1.2,No,Open
7000320,1388630,1,Account Issue,40.3,3.3,Yes,Escalated
7000321,1154766,4,Technical Problem,17.3,3.3,Yes,Open
7000322,1261778,5,Other,69.6,3.6,No,Escalated
7000323,1241608,6,Product Quality,10.9,3.2,Yes,Open
7000324,1480720,1,Payment Issue,68.1,3.7,Yes,Resolved
7000325,1216213,4,Payment Issue,51.2,1.0,Yes,Escalated
7000326,1195665,8,Other,2.1,3.1,Yes,Escalated
7000327,1006214,5,Account Issue,2.2,4.3,Yes,Escalated
7000328,1422665,2,Payment Issue,38.2,2.0,Yes,Closed
7000329,1427408,5,Wrong Item,6.6,4.8,No,Escalated
7000330,1296224,4,Account Issue,49.6,4.4,Yes,Resolved
7000331,1049022,7,Wrong Item,40.2,1.2,No,Resolved
7000332,1368494,2,Other,61.0,3.6,Yes,Closed
7000333,1296672,1,Refund Request,16.0,4.5,Yes,Escalated
7000334,1142132,2,Account Issue,64.9,3.3,Yes,Resolved
7000335,1094034,1,Refund Request,42.7,4.0,No,Escalated
7000336,1486998,5,Product Quality,41.0,3.3,Yes,Escalated
7000337,1354962,7,Product Quality,57.1,3.8,No,Resolved
7000338,1262560,1,Payment Issue,32.0,4.4,No,Closed
7000339,1317283,6,Delivery Delay,46.0,4.1,No,Escalated
7000340,1257218,6,Wrong Item,31.7,3.7,Yes,Escalated
7000341,1044929,4,Payment Issue,6.8,1.6,No,Open
7000342,1387793,6,Technical Problem,8.6,1.0,No,Closed
7000343,1233170,5,Payment Issue,10.4,1.7,No,Escalated
7000344,1292021,2,Delivery Delay,7.4,3.2,No,Closed
7000345,1452838,1,Account Issue,30.4,4.1,No,Open
7000346,1299872,7,Product Quality,10.9,2.2,Yes,Escalated
7000347,1076512,3,Wrong Item,20.6,2.2,Yes,Resolved
7000348,1189334,4,Other,43.2,1.8,No,Resolved
7000349,1071036,1,Wrong Item,24.6,3.5,No,Closed
7000350,1230804,7,Product Quality,22.3,3.4,No,Open
7000351,1251140,3,Wrong Item,69.8,2.2,No,Escalated
7000352,1301927,6,Wrong Item,20.9,4.1,Yes,Closed
7000353,1059711,3,Delivery Delay,68.7,2.8,Yes,Open
7000354,1229877,2,Wrong Item,48.8,1.6,No,Closed
7000355,1126889,3,Wrong Item,57.0,1.3,No,Escalated
7000356,1305264,7,Delivery Delay,57.1,2.4,No,Resolved
7000357,1057342,6,Product Quality,46.9,1.2,Yes,Escalated
7000358,1394623,7,Payment Issue,1.7,2.0,No,Open
7000359,1233717,7,Other,55.8,3.4,No,Open
7000360,1180863,8,Payment Issue,22.0,4.7,Yes,Resolved
7000361,1060854,6,Account Issue,25.4,4.1,Yes,Escalated
7000362,1182610,2,Other,52.3,2.8,No,Resolved
7000363,1157425,2,Delivery Delay,61.3,3.6,Yes,Open
7000364,1487548,3,Product Quality,24.5,2.7,Yes,Escalated
7000365,1121560,3,Product Quality,46.5,2.7,No,Resolved
7000366,1386604,8,Wrong Item,28.6,3.8,Yes,Open
7000367,1145933,2,Product Quality,27.0,1.8,Yes,Resolved
7000368,1137549,6,Wrong Item,44.4,3.3,No,Closed
7000369,1184542,3,Account Issue,66.2,3.4,No,Open
7000370,1164200,4,Account Issue,9.3,2.5,Yes,Open
7000371,1267820,7,Product Quality,41.8,2.7,No,Escalated
7000372,1333186,3,Other,21.5,1.7,Yes,Escalated
7000373,1324750,6,Delivery Delay,35.4,1.8,Yes,Escalated
7000374,1294431,7,Other,30.5,4.4,No,Escalated
7000375,1087689,1,Refund Request,21.7,2.1,Yes,Closed
7000376,1088190,8,Payment Issue,41.7,2.1,No,Closed
7000377,1284187,8,Refund Request,71.3,1.4,Yes,Open
7000378,1156086,8,Account Issue,25.7,4.3,Yes,Escalated
7000379,1453662,4,Refund Request,58.6,3.4,Yes,Closed
7000380,1451438,3,Product Quality,56.7,4.3,No,Resolved
7000381,1298884,5,Product Quality,24.0,3.8,No,Closed
7000382,1300279,2,Product Quality,69.4,4.1,No,Resolved
7000383,1145398,3,Refund Request,11.4,2.3,Yes,Open
7000384,1399232,8,Product Quality,42.0,2.1,No,Escalated
7000385,1196699,2,Payment Issue,29.6,4.0,No,Closed
7000386,1238392,6,Delivery Delay,62.7,4.4,No,Resolved
7000387,1383219,6,Payment Issue,57.5,2.6,No,Escalated
7000388,1432458,8,Account Issue,23.9,2.1,Yes,Open
7000389,1296822,6,Delivery Delay,4.3,3.5,No,Escalated
7000390,1008537,3,Other,33.4,5.0,Yes,Escalated
7000391,1106074,5,Product Quality,63.1,4.5,Yes,Resolved
7000392,1343193,5,Payment Issue,27.4,4.6,No,Open
7000393,1027152,5,Refund Request,31.5,1.4,No,Resolved
7000394,1000570,8,Payment Issue,10.4,1.9,Yes,Escalated
7000395,1004870,6,Payment Issue,71.2,2.7,Yes,Open
7000396,1250453,4,Wrong Item,7.3,4.2,Yes,Resolved
7000397,1164287,5,Product Quality,28.2,4.3,No,Open
7000398,1336371,2,Delivery Delay,44.3,1.7,Yes,Closed
7000399,1378763,3,Wrong Item,44.7,2.8,Yes,Open
7000400,1045450,3,Payment Issue,42.9,2.5,Yes,Escalated
7000401,1164891,4,Account Issue,46.8,2.0,Yes,Closed
7000402,1408405,5,Refund Request,37.8,3.0,Yes,Escalated
7000403,1154950,4,Other,28.4,2.0,Yes,Resolved
7000404,1276975,6,Technical Problem,10.4,4.4,Yes,Escalated
7000405,1191582,8,Payment Issue,2.2,1.3,Yes,Closed
7000406,1113112,1,Wrong Item,37.0,3.5,Yes,Escalated
7000407,1222076,2,Product Quality,20.7,2.2,No,Open
7000408,1423657,6,Wrong Item,42.6,4.1,Yes,Resolved
7000409,1162619,4,Delivery Delay,18.4,4.7,No,Resolved
7000410,1237698,5,Product Quality,9.5,3.8,Yes,Resolved
7000411,1085896,6,Account Issue,12.9,1.5,No,Closed
7000412,1384270,1,Technical Problem,58.3,2.1,Yes,Resolved
7000413,1137862,8,Other,37.3,1.2,Yes,Open
7000414,1192775,5,Payment Issue,64.5,3.7,Yes,Resolved
7000415,1119750,1,Delivery Delay,18.4,2.9,Yes,Escalated
7000416,1482464,3,Delivery Delay,40.3,4.7,Yes,Escalated
7000417,1117711,4,Wrong Item,66.0,2.3,No,Resolved
7000418,1299650,2,Delivery Delay,13.7,4.2,No,Resolved
7000419,1210201,8,Account Issue,55.9,2.2,Yes,Resolved
7000420,1289980,1,Technical Problem,15.2,3.3,No,Closed
7000421,1387751,8,Technical Problem,43.0,3.0,Yes,Open
7000422,1384022,3,Delivery Delay,67.2,1.1,Yes,Closed
7000423,1333417,6,Delivery Delay,54.9,2.5,Yes,Closed
7000424,1054500,4,Wrong Item,35.9,1.2,Yes,Open
7000425,1373111,2,Delivery Delay,66.4,4.6,No,Escalated
7000426,1367446,8,Payment Issue,42.2,3.0,No,Escalated
7000427,1039233,7,Product Quality,17.8,2.0,Yes,Closed
7000428,1485513,6,Technical Problem,33.1,1.9,No,Open
7000429,1071362,3,Payment Issue,12.7,2.9,Yes,Escalated
7000430,1063301,4,Other,22.9,2.1,No,Resolved
7000431,1047407,5,Delivery Delay,16.3,4.4,Yes,Open
7000432,1047822,6,Wrong Item,37.5,3.7,Yes,Closed
7000433,1429964,1,Wrong Item,61.7,3.2,Yes,Open
7000434,1049664,2,Product Quality,9.6,1.2,No,Open
7000435,1068533,7,Technical Problem,49.7,4.8,Yes,Resolved
7000436,1305306,2,Delivery Delay,71.8,1.8,No,Escalated
7000437,1424306,2,Technical Problem,9.7,4.8,Yes,Resolved
7000438,1088075,7,Other,3.1,3.7,No,Open
7000439,1185569,3,Account Issue,20.9,4.5,Yes,Resolved
